?? ?????,1,2,3,4,5,6, ???? ???,?? ????? + ?? ???,?? ?????
3273,2,6,7,19,24,28,1,0,1
3272,6,20,21,24,30,31,3,0,0
3271,1,12,14,17,24,28,1,0,0
3270,15,18,21,24,28,34,2,0,0
3269,5,9,14,27,29,34,2,0,0
3268,10,20,24,26,28,35,6,0,0
3267,4,17,20,21,33,34,6,0,1
3266,4,6,7,15,16,34,6,0,0
3265,1,3,11,13,25,34,3,1,0
3264,12,13,17,21,23,25,6,0,0
3263,3,6,10,12,30,36,5,0,0
3262,4,9,12,30,31,33,5,0,0
3261,6,20,22,30,32,33,5,0,0
3260,10,12,18,28,34,37,4,0,0
3259,1,7,9,21,31,36,4,0,0
3258,1,4,8,27,28,33,7,0,0
3257,10,12,13,24,25,31,7,0,0
3256,22,24,26,27,28,29,2,0,0
3255,1,6,13,21,25,28,1,0,0
3254,1,3,18,19,25,30,1,0,0
3253,3,5,10,11,18,23,2,0,1
3252,5,6,8,18,20,30,5,0,0
3251,18,19,28,30,32,35,3,0,0
3250,5,12,15,22,24,31,5,0,0
3249,13,14,21,24,27,30,3,0,0
3248,7,8,18,23,25,37,6,0,0
3247,5,15,26,28,32,37,3,0,0
3246,2,13,22,23,25,30,6,1,0
3245,1,13,25,27,33,37,5,0,0
3244,9,16,22,26,30,36,6,0,0
3243,5,8,10,12,14,22,4,1,1
3242,20,21,23,26,29,33,5,0,0
3241,10,11,14,19,24,35,6,0,0
3240,2,7,12,20,21,29,3,0,0
3239,8,9,13,24,26,34,1,0,0
3238,5,7,10,13,20,29,3,0,0
3237,1,2,6,8,20,37,1,0,0
3236,1,13,16,32,33,37,2,0,1
3235,15,16,18,20,28,37,4,0,0
3234,3,7,9,23,25,33,5,0,1
3233,11,13,17,18,32,35,7,1,0
3232,11,19,23,27,30,36,1,0,1
3231,14,19,21,22,23,32,5,0,0
3230,4,10,15,18,26,32,6,0,0
3229,2,4,20,23,25,35,5,0,0
3228,7,21,25,27,30,31,6,0,0
3227,6,16,18,28,33,37,2,0,0
3226,1,15,22,23,29,33,3,0,0
3225,7,8,15,20,27,29,4,0,0
3224,4,8,10,14,21,35,2,1,0
3223,5,6,12,16,25,33,1,0,0
3222,1,19,20,32,34,35,4,0,0
3221,5,9,13,14,17,33,2,0,0
3220,9,21,25,27,32,34,4,1,0
3219,8,12,26,28,32,33,3,1,0
3218,12,14,16,17,31,36,5,0,0
3217,3,4,17,22,27,34,7,0,0
3216,1,4,6,30,35,36,4,0,0
3215,5,9,12,28,30,36,1,0,0
3214,8,21,23,24,36,37,2,0,0
3213,6,16,23,25,27,30,6,0,0
3212,7,14,16,31,32,35,3,0,0
3211,2,6,9,27,35,37,7,0,0
3210,1,7,12,18,31,33,3,0,0
3209,1,5,8,15,17,31,2,0,0
3208,2,17,18,29,31,32,2,0,0
3207,2,11,16,21,22,31,7,0,0
3206,1,6,7,16,26,36,1,1,0
3205,4,13,15,22,30,37,2,0,0
3204,2,5,12,14,29,33,3,0,0
3203,2,3,5,9,24,32,6,0,0
3202,6,15,28,31,34,35,2,0,0
3201,2,15,20,26,27,30,7,0,0
3200,8,9,10,17,30,34,4,0,0
3199,9,10,16,20,32,34,3,0,0
3198,6,17,20,25,33,36,3,0,0
3197,2,5,8,22,24,29,5,0,0
3196,6,7,14,19,20,28,1,0,0
3195,4,7,9,14,20,22,4,0,0
3194,2,10,15,17,18,24,1,0,0
3193,3,8,31,32,34,35,5,0,0
3192,2,6,14,19,27,29,3,0,0
3191,10,16,19,30,34,37,4,0,0
3190,1,19,21,26,30,33,3,0,0
3189,9,11,14,19,23,33,2,1,0
3188,1,11,27,29,33,37,6,0,0
3187,3,13,20,26,29,35,1,1,0
3186,1,15,19,23,28,32,3,0,0
3185,5,14,15,19,20,31,3,0,0
3184,4,5,10,16,17,18,3,1,0
3183,3,4,6,8,14,35,1,0,0
3182,1,5,12,22,34,37,6,0,0
3181,8,14,16,26,32,35,2,0,0
3180,6,8,12,13,32,35,4,0,0
3179,1,22,32,33,35,37,4,0,0
3178,3,19,25,30,33,34,6,0,0
3177,5,6,7,14,26,37,4,0,1
3176,2,11,22,32,35,37,3,0,0
3175,2,8,16,19,29,33,7,0,0
3174,7,16,17,27,32,37,6,0,0
3173,3,12,13,17,18,36,5,0,0
3172,6,10,29,32,33,34,3,0,0
3171,1,7,10,24,28,37,7,0,0
3170,1,4,6,17,20,34,1,0,0
3169,1,3,18,21,23,36,3,0,0
3168,2,6,9,12,16,18,2,1,0
3167,4,5,6,9,20,37,6,1,0
3166,9,16,21,25,27,36,5,0,0
3165,11,13,17,24,34,36,1,0,0
3164,1,13,15,27,31,35,4,0,0
3163,11,17,25,33,35,36,3,0,0
3162,6,10,22,25,30,37,1,0,0
3161,1,14,25,29,30,33,3,0,0
3160,11,19,20,27,30,37,5,0,0
3159,6,10,11,24,32,36,4,0,0
3158,4,13,17,28,35,37,3,0,0
3157,1,10,28,31,32,35,6,0,0
3156,14,17,25,26,29,35,7,0,0
3155,3,4,7,18,22,23,2,1,0
3154,13,15,16,28,31,32,6,0,0
3153,1,10,12,14,27,29,2,0,0
3152,4,18,19,23,24,37,5,0,0
3151,8,18,26,29,31,36,4,0,0
3150,1,28,29,30,32,34,5,0,0
3149,10,11,14,24,27,35,3,1,1
3148,17,22,26,28,34,36,5,1,0
3147,3,10,11,17,24,36,7,0,0
3146,4,11,16,25,35,36,6,1,0
3145,1,9,13,19,20,34,5,0,0
3144,4,7,8,9,16,31,1,0,0
3143,4,13,17,19,25,37,1,0,0
3142,3,13,14,20,22,23,3,0,0
3141,10,12,15,19,27,28,3,0,0
3140,1,6,19,22,25,32,5,0,0
3139,4,5,19,24,31,37,6,0,0
3138,1,4,11,14,17,22,2,0,0
3137,3,10,16,25,29,32,1,0,0
3136,17,20,22,24,28,32,7,1,0
3135,3,27,29,31,32,33,3,0,0
3134,1,8,13,21,25,31,5,0,0
3133,1,12,16,20,30,36,6,0,0
3132,6,18,19,23,24,28,4,0,1
3131,7,8,11,14,16,22,5,0,0
3130,9,10,11,13,15,21,3,0,1
3129,1,12,17,21,25,26,2,0,0
3128,8,19,26,30,31,36,2,0,0
3127,2,8,15,27,31,35,4,0,0
3126,1,8,15,22,31,35,4,0,0
3125,12,13,15,17,25,31,2,0,0
3124,10,13,14,19,20,25,6,0,0
3123,1,3,6,9,14,28,1,0,0
3122,3,4,5,18,23,29,4,0,0
3121,4,5,19,25,31,32,3,0,0
3120,1,11,17,21,33,34,1,1,0
3119,4,6,10,18,22,25,6,0,0
3118,1,15,20,22,23,31,4,0,0
3117,3,5,7,18,23,27,7,0,0
3116,3,22,24,25,28,37,6,0,0
3115,7,11,12,25,28,31,6,1,0
3114,6,20,25,30,33,35,1,0,0
3113,12,14,15,18,20,21,5,1,0
3112,11,14,19,20,21,26,2,0,0
3111,2,21,25,27,28,36,6,0,0
3110,20,25,28,34,36,37,6,0,0
3109,5,6,12,16,29,34,5,1,0
3108,12,15,21,24,30,32,7,0,0
3107,3,9,23,24,25,26,2,0,0
3106,3,9,11,13,21,25,7,0,0
3105,10,11,17,21,23,32,7,0,0
3104,3,7,9,21,22,33,7,0,0
3103,4,13,18,22,28,34,3,0,0
3102,1,6,12,17,22,26,6,0,1
3101,11,18,19,25,35,37,5,0,0
3100,1,13,20,25,31,33,2,2,0
3099,11,12,26,34,36,37,2,0,0
3098,3,10,13,17,33,37,2,0,0
3097,4,9,17,26,27,37,2,0,0
3096,6,7,17,28,33,36,7,0,1
3095,8,15,20,24,25,33,4,0,0
3094,5,8,14,15,18,25,3,0,0
3093,6,9,13,20,26,36,7,0,0
3092,8,14,20,23,24,28,4,0,0
3091,7,13,15,16,20,31,7,0,0
3090,3,7,11,17,19,31,6,1,0
3089,12,13,19,21,35,36,6,0,0
3088,6,9,10,11,18,29,5,2,1
3087,16,17,19,29,34,37,4,0,0
3086,3,16,19,22,25,26,2,0,0
3085,1,3,4,13,23,28,5,0,0
3084,1,10,18,25,31,36,6,0,0
3083,15,21,23,27,36,37,3,0,0
3082,8,11,13,18,25,31,6,0,0
3081,1,3,7,9,15,22,2,0,0
3080,7,8,25,31,32,35,7,1,0
3079,3,5,8,18,19,29,2,0,0
3078,2,12,14,18,22,25,7,1,0
3077,3,5,16,18,21,26,2,0,0
3076,6,16,23,24,30,33,1,0,0
3075,9,20,25,27,34,37,2,0,0
3074,16,18,20,22,24,25,4,0,0
3073,8,9,13,14,27,29,5,0,0
3072,2,7,9,19,24,25,7,0,0
3071,4,8,13,20,27,29,6,0,0
3070,6,7,11,17,22,29,6,0,0
3069,11,17,19,25,27,28,2,1,0
3068,4,16,23,29,35,36,4,0,0
3067,7,20,21,25,35,37,3,0,0
3066,8,13,14,27,30,37,6,0,0
3065,1,5,15,17,23,37,5,2,1
3064,6,16,21,27,28,29,1,0,0
3063,1,3,13,17,21,32,1,0,0
3062,7,14,18,27,34,37,7,0,0
3061,4,12,21,24,35,37,7,0,0
3060,1,8,15,16,20,31,6,0,0
3059,6,13,22,25,29,37,5,0,0
3058,7,11,18,20,21,22,1,0,0
3057,2,12,16,17,28,36,4,0,0
3056,4,8,13,18,21,32,7,0,0
3055,7,8,11,20,30,37,7,0,0
3054,4,6,20,23,28,34,2,0,0
3053,1,4,7,8,12,16,1,0,0
3052,7,9,12,16,27,33,4,0,0
3051,9,18,24,28,30,36,7,0,0
